Site,Date,LiCor Number,Leaf Code,Leaf age,Species_Age,PAR (μmol m-2 s-1),CO2 Reference (ppm),Ci (ppm),An (μmol m-2 s-1),Tleaf (℃),RH (%),Ci_Pa,Ci/Ca,Atmospheric Pressure (kPa)
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,33,43.18007969,-1.332413726,29.20485115,79.80641937,4.31909701,1.022440978,92.80364227
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,66,61.94257128,0.224716119,29.06545067,79.43634796,5.612783399,0.929383253,92.80358887
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,100,79.23378574,1.763196191,29.00932693,79.23826599,8.033627894,0.887230068,92.80192566
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,175,120.3138322,4.878302425,29.03961182,78.92842102,13.17404429,0.835817119,92.80088806
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,250,160.8153104,8.113837155,29.00144196,78.96286011,18.41672542,0.819534739,92.7989502
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,325,202.9952401,10.83453409,29.03617668,78.85009003,23.65923312,0.810183559,92.79878235
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,400,258.088434,14.36030731,29.32432556,81.02593231,29.41769085,0.819381289,92.80115509
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,475,304.8167917,17.34204175,29.36339951,81.1335144,34.79773074,0.815788559,92.79447174
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,575,372.1060989,20.90691522,29.35835075,81.1692276,42.34670623,0.819195004,92.79091644
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,675,446.4011872,23.29684166,29.30903053,81.17565918,50.13936882,0.824961363,92.7874527
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,800,544.0515302,25.94398261,29.30095673,81.0927124,60.39529149,0.836304179,92.78534698
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,1000,709.6716541,28.16911235,29.32924461,80.99137878,76.98011285,0.850270273,92.78262329
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,1400,1071.791859,29.9886008,29.40534019,80.98944092,111.304014,0.874436746,92.78291321
Xishuangbanna,20190805,JW4,13WTS_B1_L1,M,WTS_M,2000,1800,1434.988247,31.20479953,29.48251152,80.87909698,145.7044818,0.887703071,92.78320313
