Site,Date,LiCor Number,Leaf Code,Leaf age,Species_Age,PAR (μmol m-2 s-1),CO2 Reference (ppm),Ci (ppm),An (μmol m-2 s-1),Tleaf (℃),RH (%),Ci_Pa,Ci/Ca,Atmospheric Pressure (kPa)
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,33 ,40.07395175,-0.794059902,26.54242258,60.31933713,,1.183684497,101.2738387
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,66 ,63.47228727,0.090663006,26.43808387,60.30101924,,0.965984989,101.2757097
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,100 ,87.7804297,0.960229101,26.29453871,60.54063743,,0.890499458,101.2784516
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,175 ,141.1486678,2.813649198,26.38945161,60.5163512,,0.824676136,101.2835484
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,250 ,194.7363003,4.656588241,26.45933548,60.49769231,,0.79887502,101.2862903
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,325 ,246.1399075,6.530561444,26.56679355,60.28070377,,0.778142835,101.2848065
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,400 ,302.3996233,8.283975453,26.49980645,60.35096055,,0.777374538,101.2830323
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,475 ,355.5367252,11.14848577,26.763,60.25684437,,0.772568021,101.2858065
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,575 ,431.2276783,13.04980546,26.80722258,60.20391317,,0.773279918,101.2864839
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,675 ,509.5344364,14.51022248,26.7892871,60.28881282,,0.777083857,101.2862258
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,800 ,609.4435382,15.94740506,26.83712903,60.15178995,,0.782665877,101.2865806
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,1000 ,778.1533517,17.50850756,26.86595484,60.16693517,,0.79693695,101.2867742
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,1400 ,1146.438527,18.70857013,26.72182258,60.51937723,,0.834304101,101.2855484
Xishuangbanna,20210426,,TR3-B1-ACI1-M,,,2000,1800 ,1525.90212,19.05318638,26.70784516,60.17867112,,0.860708843,101.284871
